"Walkthechat","Walkthechat"
"Disconnect","Disconnect"
"Connect","Connect"
"Set app id and app key in order to connect it with Magento","Set app id and app key in order to connect it with Magento"
"Connected","Connected"
"Not Connected","Not Connected"
"Delete Products from Walkthechat"."Delete Products from Walkthechat"
"Export All Products","Export All Products"
"Export Selected Products","Export Selected Products"
"Export To Walkthechat","Export To Walkthechat"
"API error. Check logs for more details.","API error. Check logs for more details."
"Settings","Settings"
"General Configuration","General Configuration"
"Status","Status"
"API Url","API Url"
"Authorization Url","Authorization Url"
"App Id","App Id"
"App Secret Key","App Secret Key"
"Synchronization","Synchronization"
"Enable Product Synchronization?","Enable Product Synchronization?"
"Enable Order and Inventory Synchronization?","Enable Order and Inventory Synchronization?"
"Currency","Currency"
"Enable Currency Conversion?","Enable Currency Conversion?"
"Exchange Rate","Exchange Rate"
"Round Method","Round Method"
"Shipping Synced.","Shipping Synced."
"Table Rate is disabled.","Table Rate is disabled."